2003,1,6.974706
2004,1,5.5
2005,1,3.1311765
2006,1,9.247647
2007,1,3.3994117
2008,1,3.9094117
2009,1,3.8811767
2010,1,7.1164703
2011,1,5.0258827
2012,1,5.37
2013,1,3.9317646
2014,1,4.051176
2015,1,2.6047056
2016,1,7.5317645
2017,1,4.0882354
2003,2,1.4241176
2005,2,0.9317647
2006,2,2.8441174
2007,2,1.8523531
2009,2,1.7888235
2010,2,3.6411765
2011,2,3.4047062
2013,2,1.6311765
2014,2,5.671177
2015,2,4.5070586
2017,2,8.60647
2004,2,2.5535295
2008,2,1.2558824
2012,2,2.9999998
2016,2,4.3958826
2003,3,5.055294
2004,3,1.9435295
2005,3,3.1635294
2006,3,1.2723528
2007,3,2.9317646
2008,3,3.8082356
2009,3,3.6535294
2010,3,3.3488233
2011,3,6.7423534
2012,3,6.5600004
2013,3,2.7270586
2014,3,8.616469
2015,3,4.4364705
2016,3,5.592941
2017,3,6.803529
2003,4,2.2864707
2004,4,0.53176475
2005,4,2.7782352
2006,4,2.0341175
2007,4,0.46117648
2008,4,2.061765
2009,4,2.9135296
2010,4,3.3341177
2011,4,3.594118
2012,4,2.3094118
2013,4,4.580588
2014,4,3.1247058
2015,4,1.7729411
2016,4,1.4635293
2017,4,4.0735292
2003,5,1.0505881
2004,5,2.3435297
2005,5,2.8088236
2006,5,1.2341177
2007,5,0.046470586
2008,5,0.84058815
2009,5,4.1694117
2010,5,3.3411763
2011,5,3.0958822
2012,5,2.3058822
2013,5,1.6317648
2014,5,2.5747058
2015,5,0.57941175
2016,5,1.1835295
2017,5,0.019411765
2003,6,0.6364706
2004,6,0.6158824
2005,6,1.925294
2006,6,1.5052938
2007,6,0.47941175
2008,6,1.83
2009,6,0.22882354
2010,6,2.2476473
2011,6,1.3358822
2012,6,3.0529413
2013,6,1.637059
2014,6,0.88
2015,6,0.16705883
2016,6,1.5005882
2003,7,0.20764709
2004,7,0.30705884
2005,7,0.7164706
2006,7,0.0717647
2007,7,1.3511764
2008,7,0.3458824
2009,7,0.11294119
2010,7,0.24176471
2011,7,0.7835294
2012,7,1.5299997
2013,7,0.042352945
2014,7,0.9317647
2015,7,0.24941178
2016,7,0.57117647
2003,8,0.42999998
2004,8,2.864118
2005,8,0.34117645
2006,8,0.097647056
2007,8,0.99117637
2008,8,3.1241176
2009,8,0.90176463
2010,8,0.70176476
2011,8,0.064705886
2012,8,0.0
2013,8,1.0582353
2014,8,1.3511764
2015,8,2.878235
2016,8,0.09117646
2003,9,0.81000006
2004,9,1.9517647
2005,9,0.98647064
2006,9,1.3347058
2007,9,2.1988235
2008,9,0.6735294
2009,9,2.3035297
2010,9,3.9111764
2011,9,1.1211765
2012,9,0.15999997
2013,9,5.2629414
2014,9,2.7282355
2015,9,1.4617647
2016,9,1.1152942
2003,10,6.744706
2004,10,2.192353
2005,10,2.2011764
2006,10,1.2605883
2007,10,2.7441175
2008,10,2.1458824
2009,10,5.4670587
2010,10,4.327647
2011,10,2.934706
2012,10,6.085882
2013,10,1.25
2014,10,6.6676474
2015,10,3.5017648
2016,10,10.067648
2002,11,2.7211766
2003,11,5.327647
2004,11,2.548235
2005,11,4.61
2006,11,11.594705
2007,11,3.1182353
2008,11,5.2835298
2009,11,9.582942
2010,11,4.7770586
2011,11,5.9082355
2012,11,8.334705
2013,11,2.8794117
2014,11,4.667647
2015,11,6.968823
2016,11,7.778235
2002,12,4.4117646
2003,12,3.874706
2004,12,4.6776476
2005,12,6.7852945
2006,12,7.3570595
2007,12,9.908234
2008,12,3.9158828
2009,12,2.6452942
2010,12,8.8611765
2011,12,1.7982353
2012,12,8.94353
2013,12,1.2588235
2014,12,5.4976463
2015,12,10.434706
2016,12,3.8429413
